identifier,title,authors,arxiv,doi,adsabs
SDSS-V Publication 0001,"SDSS-V Algorithms: Fast, Collision-Free Trajectory Planning for Heavily Overlapping Robotic Paths","Conor Sayres, José R. Sánchez-Gallego, Michael R. Blanton, Ricardo Araujo, Luzius Kronig, Loïc Grossen, Sarah Tuttle, Richard W. Pogge, Juna A. Kollmeier",arXiv:2012.04721,10.3847/1538-3881/abd0f2,2021AJ....161...92S
SDSS-V Publication 0002,Mapping Luminous Hot Stars in the Galaxy,"E. Zari, H.-W. Rix,  N. Frankel, M. Xiang, E. Poggio, R. Drimmel,  A. Tkachenko",arXiv:2102.08684,10.1051/0004-6361/202039726,2021A&A...650A.112Z
SDSS-V Publication 0003,APOGEE LN2 Tank Back Pressure Regulator System,"Liam Walters, James Davidson, John Wilson, Peter Dow, Andy Monson, Matt Nelson, Steven Majewski","","",2021AAS...23732405W
SDSS-V Publication 0004,Testing fiber tapers for use in the SDSS-V focal plane system,"Sarah Tuttle, Emily Farr, Claire Poppett, Colby Jurgenson, José Sánchez-Gallego, Debra Fischer, Ryan Petersburg, Richard Pogge, Juna Kollmeier ","",10.1117/12.2562293,""
SDSS-V Publication 0005,A Robotic Focal Plane System for the Sloan Digital Sky Survey V,"Richard W. Pogge, Mark A. Derwent, Thomas P. O'Brien, Colby A. Jurgenson, Daniel Pappalardo, Michael Engelman, Christopher Brandon, Julia Brady, Nicholas Clawson, Jon Shover, Jerry Mason, Jean-Paul Kneib, Ricardo Araujo, Mohamed Bouri, Luzius Kronig, Loïc Grossen, Denis Gillet, Matin Macktoobian, Sarah E. Tuttle, Emily Farr, José Sánchez-Gallego, Conor Sayres","",10.1117/12.2561113,""
SDSS-V Publication 0007,Test results of the SDSS-V fiber micro-positioners,"L. Grossen, L. Kronig, R. Araujo, S. Caseiro, C. Sayres, J. Sánchez-Gallego, M. Bouri, J.-P. Kneib","",10.1117/12.2562545,""
SDSS-V Publication 0008,Design of a Theta/Phi fiber positioner robot for the Sloan Digital Sky Survey V,"Ricardo Araujo, Mohamed Bouri, Christopher Brandon, Stefane Caseiro, Denis Gillet, Loïc Grossen, Luzius Kronig, Matin Macktoobian, Thomas O'Brien, Richard W. Pogge, Sarah Tuttle, Jean-Paul Kneib","",10.1117/12.2563234,""
SDSS-V Publication 0009,SDSS-V focal plane robot positioning metrology,"C. Jurgenson, M. Engelman, R. Pogge, T. O'Brien, D. Pappalardo, N. Clawson, M. Derwent, C. Brandon, J. Mason, J. Brady, J. Shover","",10.1117/12.2562492,""
SDSS-V Publication 0010,Multi-object spectroscopic operations with the Sloan Digital Sky Survey V,"José R. Sánchez-Gallego, Conor Sayres, John Donor, Andrés Almeida Toro, Ricardo Araujo, Luzius Kronig, Loïc Grossen, Richard Pogge, Stefanie Wachter, Solange Ramírez, Joel Brownstein","",10.1117/12.2561810,2020SPIE11449E..0OS
SDSS-V Publication 0011,The industrialization of astronomical instrumentation: an industrial system and process engineering perspective,"Christopher Brandon, Richard W. Pogge, Mark A. Derwent, Thomas P. O'Brien, Colby A. Jurgenson, Daniel Pappalardo, Michael Engelman, Julia Brady, Jon Shover, Jerry Mason, Jean-Paul Kneib, Ricardo Araújo, Mohamed Bouri, Luzius Kronig, Loïc Grossen, Sarah E. Tuttle, Emily Farr","",10.1117/12.2562964,2020SPIE11450E..22B
SDSS-V Publication 0012,The SDSS-V Local Volume Mapper fiber cable system,"Tobias Feger, Scott Case, Ross Zhelem, Yevgen Kripak, Jon Lawrence, Christian Schwab, Tom M. Herbst, Guillermo Blanc, Pavan Bilgi, Nicholas P. Konidaris II, Anthony Hebert, Stefanie Wachter, Solange Ramirez, Niv Drory, Cynthia S. Froning","",10.1117/12.2562185,2020SPIE11447E..8NF
SDSS-V Publication 0013,SDSS-V Local Volume Mapper Instrument: Overview and Status,"Nicholas P. Konidaris, Niv Drory, Cynthia S. Froning, Anthony Hebert, Pavan Bilgi, Guillermo A. Blanc, Alicia E. Lanz, Charles L Hull, Juna A. Kollmeier, Solange Ramirez, Stefanie Wachter, Kathryn Kreckel, Soojong Pak, Eric Pellegrini, Kathryn Kreckel, Andres Almeida, Scott Case, Ross Zhelem, Tobias Feger, Jonathan Lawrence, Michael Lesser, Tom Herbst, Jose Sanchez-Gallego, Matthew A Bershady, Sabyasachi Chattopadhyay, Andrew Hauser, Michael Smith, Marsha J Wolf, Renbin Yan
","",10.1117/12.2557565,2020SPIE11447E..18K
SDSS-V Publication 0014,The SDSS-V Local Volume Mapper telescope system,"T. M. Herbst,	 Pavaman Bilgi, Peter Bizenberger, Guillermo Blanc, Florian Briegel, Scott Case, Niv Drory, Tobias Feger, Cynthia Froning, Wolfgang Gaessler, Anthony Hebert, Nicholas Konidaris, Alicia Lanz, Lars Mohr, Soojong Pak, Solange Ramírez, Ralf-Rainer Rohloff, José Sánchez-Gallego, Stefanie Wachter","",10.1117/12.2561419,2020SPIE11445E..0JH
SDSS-V Publication 0015,Experimental evaluation of complete safe coordination of astrobots for Sloan Digital Sky Survey V,"Matin Macktoobian, Ricardo Araújo, Loïc Grossen, Luzius Kronig, Mohamed Bouri, Denis Gillet, Jean-Paul Kneib",arXiv:2012.10656,10.1007/s10686-020-09687-4,2021ExA....51...77M
SDSS-V Publication 0018,A 99 minute Double-lined White Dwarf Binary from SDSS-V,"Vedant Chandra, Hsiang-Chih Hwang, Nadia L. Zakamska, Boris T. Gänsicke, J. J. Hermes, Axel Schwope, Carles Badenes, Gagik Tovmassian, Evan B. Bauer, Dan Maoz, Matthias R. Schreiber, Odette F. Toloza, Keith P. Inight, Hans-Walter Rix, Warren R. Brown",arXiv:2108.11968,10.3847/1538-4357/ac2145,2021ApJ...921..160C
SDSS-V Publication 0019,Zeta-Payne: A Fully Automated Spectrum Analysis Algorithm for the Milky Way Mapper Program of the SDSS-V Survey,"Ilya Straumit, Andrew Tkachenko, Sarah Gebruers, Jeroen Audenaert, Maosheng Xiang, Eleonora Zari, Conny Aerts, Jennifer A. Johnson, Juna A. Kollmeier, Hans-Walter Rix, Rachael L. Beaton, Jennifer L. Van Saders, Johanna Teske, Alexandre Roman-Lopes, Yuan-Sen Ting, Carlos G. Román-Zúñiga",arXiv:2203.14538,10.3847/1538-3881/ac5f49,2022AJ....163..236S
SDSS-V Publication 0022,SDSS-V Focal Plane System High-Precision Metrology,"Michael Engelman, Conor Sayres, Richard Pogge, Mark Derwent, Thomas O'Brien, Jonathan Shover, Solange Ramirez, Stefanie Wachter","",10.1117/12.2630384,2022SPIE12184E..7JE
SDSS-V Publication 0023,The Sloan Digital Sky Survey cyberinfrastructure,"José R. Sánchez-Gallego, Brian Cherinka, Joel Brownstein, John Donor, Conor Sayres, Hojae Ann, Changgon Kim, Juna Kollmeier, Nick Konidaris, Soojong Pak, Solange Ramírez, Shane Thomas, Stefanie Wachter, Mingyeong Yang, Lionel Zumarán","",10.1117/12.2629714,2022SPIE12189E..06S
SDSS-V Publication 0024,Fiber optic throughput performance evaluation in multi-fiber termination connectors,"Emily Farr, Sarah Tuttle, John Wilson, Rishi Pahuja, Travis Mandeville, Colby Jurgenson, Kal Kadlec, Stefanie Wachter, Solange Ramirez","",10.1117/12.2629751,2022SPIE12184E..78F
SDSS-V Publication 0025,The guiding system for the Sloan Digital Sky Survey multi-object fibre positioner,"José Sánchez-Gallego, Conor Sayres, Richard Pogge, Dmitry Bizyaev, Juna Kollmeier, Solange Ramírez","",10.1117/12.2629738,""
SDSS-V Publication 0026,External upgrades to improve the RV precision of the APOGEE Spectrographs,"John C. Wilson, Jimmy W. Davidson, Chad Bender, Peter Dow, Matt Nelson, Liam Walters, Del Irving, Emily Farr, Sarah Tuttle, David Nidever, Nathan DeLee, Jon Holtzman, Steve Majewski, John Fox, Donald Harkins, Louis Green, Jamey Ericksen, Ryan Wagner, Mark Derwent, Colby Jurgenson, Rick Pogge, Stefanie Wachter, Solange Ramirez, Juna Kollmeier","",10.1117/12.2630231,2022SPIE12184E..7HW
